timestamp,symbol,open,high,low,close,volume
2024-01-01T00:00:00Z,BTC/USD,42000.00000000,42071.97473093,41996.36902439,42068.33784739,91.00117273
2024-01-01T01:00:00Z,BTC/USD,42068.33784739,42191.81126815,42034.47134001,42157.87268205,107.06797950
2024-01-01T02:00:00Z,BTC/USD,42157.87268205,42256.21623444,42152.23749235,42250.56865420,96.87687279
2024-01-01T03:00:00Z,BTC/USD,42250.56865420,42364.38123409,42247.80659916,42361.61191980,100.21421152
2024-01-01T04:00:00Z,BTC/USD,42361.61191980,42473.58892685,42359.27128872,42471.24223830,105.99537751
2024-01-01T05:00:00Z,BTC/USD,42471.24223830,42517.32708440,42467.06640629,42513.14713224,103.57062736
2024-01-01T06:00:00Z,BTC/USD,42513.14713224,42594.06020436,42510.88706332,42591.79595434,112.23277007
2024-01-01T07:00:00Z,BTC/USD,42591.79595434,42671.96651953,42573.39558156,42653.53947252,86.21917999
2024-01-01T08:00:00Z,BTC/USD,42653.53947252,42780.16685926,42648.40761890,42775.02038968,83.70983374
2024-01-01T09:00:00Z,BTC/USD,42775.02038968,42957.51142470,42751.33767929,42933.74083754,104.14904125
2024-01-01T10:00:00Z,BTC/USD,42933.74083754,43072.89082894,42901.22882455,43040.29812435,101.44912366
2024-01-01T11:00:00Z,BTC/USD,43040.29812435,43170.96920385,43036.76933636,43167.42999257,102.08162525
2024-01-01T12:00:00Z,BTC/USD,43167.42999257,43305.92144621,43141.11783079,43279.54094861,114.46827601
2024-01-01T13:00:00Z,BTC/USD,43279.54094861,43301.51974837,43263.75589504,43285.73243662,81.83297535
2024-01-01T14:00:00Z,BTC/USD,43285.73243662,43387.34201243,43268.01480045,43369.59005181,83.19167908
2024-01-01T15:00:00Z,BTC/USD,43369.59005181,43460.21385503,43359.64177207,43450.24707387,91.11894412
2024-01-01T16:00:00Z,BTC/USD,43450.24707387,43511.36761328,43434.66209824,43495.76631056,94.80723868
2024-01-01T17:00:00Z,BTC/USD,43495.76631056,43601.03466263,43479.17779351,43584.41233756,117.46618351
2024-01-01T18:00:00Z,BTC/USD,43584.41233756,43643.98068182,43560.46543572,43620.01421898,86.84554593
2024-01-01T19:00:00Z,BTC/USD,43620.01421898,43707.37955476,43607.09794319,43694.44124046,95.17821767
2024-01-01T20:00:00Z,BTC/USD,43694.44124046,43849.94070356,43692.38700145,43847.87925086,102.27798975
2024-01-01T21:00:00Z,BTC/USD,43847.87925086,43925.08050646,43809.21091066,43886.37821500,111.03999646
2024-01-01T22:00:00Z,BTC/USD,43886.37821500,43972.70663882,43880.82137973,43967.13957765,92.61812192
2024-01-01T23:00:00Z,BTC/USD,43967.13957765,44057.30592435,43952.09937801,44042.24003447,117.71638857
2024-01-02T00:00:00Z,BTC/USD,44042.24003447,44167.73567564,44028.82028777,44154.28178962,106.21754661
2024-01-02T01:00:00Z,BTC/USD,44154.28178962,44184.14041861,44110.76438762,44140.61377383,98.35407410
2024-01-02T02:00:00Z,BTC/USD,44140.61377383,44232.91096587,44124.07643507,44216.34525421,102.45472537
2024-01-02T03:00:00Z,BTC/USD,44216.34525421,44319.56962275,44187.13465593,44290.31016110,115.91291534
2024-01-02T04:00:00Z,BTC/USD,44290.31016110,44349.07584494,44281.10306954,44339.85845325,119.90150426
2024-01-02T05:00:00Z,BTC/USD,44339.85845325,44397.06092985,44339.27943236,44396.48116954,81.88465502
